bangla,chakma
"আর আমি ছিলাম একসময়ের ফুটবল স্টার , যুদ্ধের একজন হিরো ।","আর মুই এলুংগি একসময়র ফুটবল স্টার ,যুদ্ধর একজন হিরো ।"
আর একজন ন্যাশনাল সেলিব্রেটি,আর একজন ন্যাশনাল সেলিব্রেটি
"চিংড়ি ধরার নৌকার একজন ক্যাপ্টেন , আর এক কলেজ গ্রাজুয়েট ।","ইজে ধুরিবার নৌয়র একজন ক্যাপ্টেন ,আর এক্কু কলেজ গ্রাজুয়েট ।"
"তাই গ্রিনবো , এলাবামার ফাদাররা ।","সেনত্তে গ্রিনবো ,এলাবামার ফাদাররা ।"
"তাই আমি কাজের জন্য লেফটেন্যান্ট ড্যানের কাছে আর কখনো যাইনি , তবে তিনি আমার বাব্বা-গাম্প কোম্পানির দেখাশোনা করেছেন ।","সেনত্তে মুই হামত্তে লেফটেন্যান্ট ড্যান অ ইদু আর নযাং আর ,হালিক তে মর বাব্বা-গাম্প কোম্পানিরে সুবি দি ।"
আর তিনি আমার টাকা এক ফলের কোম্পানিতে ইনভেস্ট করেছেন ।,আর তে মর টেঙাউন এক্কু ফল অ কোম্পানিত ইনভেস্ট গচ্চি ।
আর তারপর তিনি ফোন করে বললেন আমাকে আর টাকার চিন্তা করতে হবেনা ।,আর সে পরে তে ফোন গুরি হত্তে মর আর টেঙা সিদে গরা নপরিবু ।
আমি বললাম ।,মুই হয়ুং ।
আর মা বলেছিল এতটুকু সম্পত্তি মানুষের প্রয়োজন হয় ।,আর মা হুয়েদে এত্তোমান সম্পত্তি মানজর লাগে ।
আর বাকিগুলো শুধু দেখানোর জন্য তাই আমি এক ভাগ দিলাম ফোরস্কয়ার গোস্পেল চার্চে ।,আর বাগিউন বানা দেগেবাত্তে সেনে মুই এক ভাগ দিলুং ফোরস্কয়ার গোস্পেল চার্চত ।
আর একভাগ দিলাম বায়ো লা বাত্রে ফিশিং হাসপাতালে ।,আর এক ভাগ দিলুং বায়ো লা বাত্রে ফিশিং হাসপাতালত ।
আপনি জানেন ?,তুই হবর পাজ ?
এখন আর তাকে অন্যকারো রান্নাঘরে কাজ করতে হয়না ।,ইক্কু আর তারে অন্যহারো পাকঘরত হাম গরা ন পরে ।
"অনেক সুন্দর গন্ধ আসছে আর আমার কাজটা করতে অনেক ভালো লাগত , আমি ফ্রিতে ঘাস কেটে দিতাম ।","বজমান দোল বাজ এজের আর মর হামান গরদে বজমান গম লাগিলুন ,মুই মাগানা ঘাস হাবি দিলুংউন ।"
কিন্ত রাতে যখন কিছুই করার থাকতনা আর পুরো বাসা খালি থাকত ।,হালিক রেদত যেক্কে হিচ্চু গুরিবার নতায় আর গোদা ঘরান হালি থেদ ।
"আর তারপর , সে চলে আসল ।","আর সে পর ,তে ইচ্চি ।"
"ওহে , ফরেস্ট ।","ওই ,ফরেস্ট ।"
জেনি ফিরে আসল আর আমার সাথেই থাকতে লাগল ।,জেনি ফিরি ইচ্চি আর ম লগে তার ।
মনেহয় এইজন্য যে ওর আর কোথায় যাওয়ার জায়গা ছিলনা,মনে হয় এ সিয়ানত্তে তার আর হোনহিত্তে যেবার জাগা ন এল
অথবা এইজন্য যে সে অনেক ক্লান্ত ছিল আর সে ঘুমিয়ে পড়ল,নঅলে সেনত্তে তে বজমান বলছাড়া গুরি এল আর তে ঘুম যিয়ে
আর সে ঘুমাতেই লাগল ঘুমাতেই লাগল দেখে মনে হচ্ছিল সে কয়েক বছর ঘুমায়নি ।,"আর তে ঘুম যাত্তে ঘুম যার ,দেগিনে মনে অত্তে তে ভালোকবজর ঘুম ন যায় ।"
প্রতিদিন আমরা হাটতে বের হতাম আর আমি বকবক করতে থাকতাম যেমন গাছে বাঁদররা করে ।,দিনমাত্তে আমি আদা যেয় আর মুই বকবক গুরিদুং যেমন গাজত সানসিদিলি উন গরন ।
